LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000061,0.13636363636363635,0.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.022727272727272728,0.11363636363636363,0.13636363636363635,0.36363636363636365,44
E01000062,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.3125,0.5,16
E01000063,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.3333333333333333,12
E01000064,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.0,0.0,0.19230769230769232,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.34615384615384615,26
E01000065,0.08695652173913043,0.17391304347826086,0.0,0.0,0.0,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.30434782608695654,23
E01000066,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,13
E01000067,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.2727272727272727,0.22727272727272727,22
E01000068,0.23809523809523808,0.09523809523809523,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.23809523809523808,0.09523809523809523,0.23809523809523808,21
E01000069,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.10526315789473684,0.15789473684210525,0.42105263157894735,19
E01000070,0.06060606060606061,0.21212121212121213,0.09090909090909091,0.06060606060606061,0.0,0.0,0.030303030303030304,0.21212121212121213,0.12121212121212122,0.21212121212121213,33
E01000071,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.125,0.0625,0.4375,16
E01000072,0.06382978723404255,0.0425531914893617,0.2978723404255319,0.0,0.0,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.0851063829787234,0.425531914893617,47
E01000073,0.2,0.05,0.0,0.05,0.0,0.1,0.1,0.1,0.1,0.3,20
E01000074,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.3157894736842105,19
E01000075,0.0967741935483871,0.0,0.0,0.0,0.0,0.1935483870967742,0.0967741935483871,0.06451612903225806,0.1935483870967742,0.3548387096774194,31
E01000076,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.12903225806451613,0.3225806451612903,31
E01000077,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.37037037037037035,27
E01000078,0.12121212121212122,0.06060606060606061,0.06060606060606061,0.0,0.030303030303030304,0.09090909090909091,0.0,0.12121212121212122,0.06060606060606061,0.45454545454545453,33
E01000079,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.0,0.17647058823529413,0.11764705882352941,0.17647058823529413,17
E01000080,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.0,0.05555555555555555,0.3888888888888889,18
E01000081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,10
E01000082,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.35714285714285715,14
E01000083,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.0,0.2857142857142857,0.0,0.47619047619047616,21
E01000084,0.125,0.125,0.125,0.0,0.0,0.0625,0.0625,0.21875,0.09375,0.1875,32
E01000085,0.05,0.1,0.05,0.0,0.05,0.15,0.05,0.15,0.05,0.35,20
E01000086,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,13
E01000087,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.46153846153846156,0.2564102564102564,39
E01000088,0.05714285714285714,0.17142857142857143,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.3142857142857143,35
E01000089,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.4,15
E01000090,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.17857142857142858,0.25,0.42857142857142855,28
E01000091,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.2608695652173913,0.5652173913043478,23
E01000092,0.04597701149425287,0.05747126436781609,0.011494252873563218,0.011494252873563218,0.0,0.034482758620689655,0.011494252873563218,0.12643678160919541,0.21839080459770116,0.4827586206896552,87
E01000093,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.0,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.18181818181818182,0.45454545454545453,33
E01000094,0.08,0.08,0.08,0.0,0.0,0.04,0.0,0.16,0.44,0.12,25
E01000095,0.04878048780487805,0.06097560975609756,0.06097560975609756,0.04878048780487805,0.012195121951219513,0.036585365853658534,0.036585365853658534,0.3048780487804878,0.1951219512195122,0.1951219512195122,82
E01000096,0.17857142857142858,0.07142857142857142,0.0,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.2857142857142857,0.17857142857142858,28
E01000097,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.19047619047619047,21
E01000098,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,28
E01000099,0.05,0.2,0.1,0.0,0.0,0.0,0.0,0.05,0.2,0.4,20
E01000100,0.0,0.3125,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.5,16
E01000101,0.0625,0.25,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.0625,0.25,16
E01000102,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,11
E01000103,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,13
E01000104,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.1724137931034483,0.41379310344827586,29
E01000105,0.05172413793103448,0.08620689655172414,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.4827586206896552,0.05172413793103448,0.25862068965517243,58
E01000106,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.5925925925925926,27
E01000107,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7
